关节1                关节2            关节3             关节4            关节5             关节6            合角速度
0.000733477 -2.42484 2.37905 -0.000419315 0.045671 0.000640106 7.34203 

0.000685053 -2.20424 2.16655 -0.000419272 0.0376132 0.000616301 7.35377 

0.000636944 -1.98368 1.95331 -0.000419197 0.0303462 0.000590394 7.36488 

0.000589144 -1.76316 1.73932 -0.00041909 0.0238641 0.000562397 7.37644 

0.000541649 -1.54266 1.52457 -0.000418949 0.0181717 0.000532293 7.38825 

0.000494456 -1.32219 1.30905 -0.000418774 0.0132735 0.000500063 7.40049 

0.000447565 -1.10175 1.09277 -0.000418564 0.0091596 0.000465737 7.41239 

0.00040097 -0.88133 0.875721 -0.000418319 0.0058345 0.000429298 7.42472 

0.000354669 -0.660927 0.657899 -0.000418027 0.00330297 0.000390729 7.43731 

0.000308659 -0.440533 0.439298 -0.00041771 0.00155995 0.00035004 7.45017 

0.000262938 -0.22015 0.219925 -0.000417357 0.000600293 0.000307246 7.46295 

0.000217503 0.000218466 -0.000222672 -0.000416967 0.000428899 0.000262331 7.47581 

0.000244975 0.000196921 -0.000206111 -0.000393483 0.000466622 0.000282396 -9.25596e+061 

0.000289259 -0.220172 0.219941 -0.000395078 0.000636436 0.000326525 7.47589 

0.000333679 -0.440554 0.439319 -0.000396595 0.00158956 0.000368403 7.46311 

0.000378381 -0.660943 0.657915 -0.000398076 0.00333094 0.000408155 7.45007 

0.000423228 -0.881341 0.875726 -0.000399545 0.00586578 0.000445628 7.43712 

0.000468636 -1.10177 1.09278 -0.000400965 0.00918938 0.000481245 7.42497 

0.000514195 -1.32221 1.30906 -0.000402352 0.0132968 0.000514631 7.41254 

0.000560048 -1.54268 1.52457 -0.000403717 0.0181982 0.000545872 7.40031 

0.000606052 -1.76317 1.73933 -0.000405019 0.023889 0.000574858 7.38832 

0.000652633 -1.9837 1.95333 -0.000406291 0.0303597 0.000602037 7.37685 

0.00069938 -2.20425 2.16657 -0.000407569 0.0376301 0.000626938 7.36487 

0.000746421 -2.42484 2.37905 -0.000408775 0.0456857 0.000649727 7.3533 

0.00079363 -2.64548 2.59078 -0.000409949 0.0545374 0.000670265 7.34228 

0.000841431 -2.86616 2.80177 -0.000411106 0.0641804 0.000688963 7.33115 

0.000889405 -3.08687 3.012 -0.000412263 0.0746094 0.000705439 7.31991 

0.000937546 -3.30764 3.2215 -0.000413352 0.0858311 0.000719653 7.30946 

0.00098615 -3.52846 3.43024 -0.000414416 0.097855 0.000731891 7.2985 

0.00103522 -3.74933 3.63825 -0.000415484 0.110662 0.000742188 7.28818 

0.00108447 -3.97025 3.84552 -0.000416502 0.124262 0.000750244 7.27769 

0.0011339 -4.19124 4.05205 -0.000417511 0.138663 0.000756041 7.26783 

0.00118381 -4.41229 4.25786 -0.000418526 0.153858 0.000759888 7.25784 

0.00118381 -4.41229 4.25786 -0.000418526 0.153858 0.000759888 -9.25596e+061 

0.00113244 -4.19124 4.05206 -0.0004187 0.138661 0.000754952 7.25759 

0.00108141 -3.97026 3.84553 -0.000418838 0.12426 0.000747925 7.26758 

0.00103072 -3.74932 3.63824 -0.000418983 0.110657 0.000738795 7.27815 

0.000980365 -3.52845 3.43023 -0.000419105 0.0978482 0.000727575 7.28811 

0.000930339 -3.30764 3.22149 -0.000419203 0.0858276 0.000714277 7.2985 

0.000880641 -3.08687 3.012 -0.000419275 0.0745997 0.000698884 7.30913 

0.000831265 -2.86615 2.80175 -0.000419321 0.0641685 0.00068138 7.32019 

0.000782212 -2.64547 2.59078 -0.000419338 0.0545242 0.000661793 7.3309 

0.000733477 -2.42484 2.37905 -0.000419315 0.045671 0.000640106 7.34203 

0.000685053 -2.20424 2.16655 -0.000419272 0.0376132 0.000616301 7.35377 

0.000636944 -1.98368 1.95331 -0.000419197 0.0303462 0.000590394 7.36488 

0.000589144 -1.76316 1.73932 -0.00041909 0.0238641 0.000562397 7.37644 

0.000541649 -1.54266 1.52457 -0.000418949 0.0181717 0.000532293 7.38825 

0.000494456 -1.32219 1.30905 -0.000418774 0.0132735 0.000500063 7.40049 

0.000447565 -1.10175 1.09277 -0.000418564 0.0091596 0.000465737 7.41239 

0.00040097 -0.88133 0.875721 -0.000418319 0.0058345 0.000429298 7.42472 

0.000354669 -0.660927 0.657899 -0.000418027 0.00330297 0.000390729 7.43731 

0.000308659 -0.440533 0.439298 -0.00041771 0.00155995 0.00035004 7.45017 

0.000262938 -0.22015 0.219925 -0.000417357 0.000600293 0.000307246 7.46295 

0.000217503 0.000218466 -0.000222672 -0.000416967 0.000428899 0.000262331 7.47581 

1.22356e-007 3.377e-006 1.25998e-005 -1.07603e-008 -6.33656e-008 1.21876e-007 -9.25596e+061 

5.58067e-005 -0.22036 0.220159 -2.12429e-005 0.000187559 5.75513e-005 7.4756 

0.000111569 -0.440732 0.439515 -4.246e-005 0.00117329 0.000112612 7.46239 

0.00016809 -0.661104 0.658094 -6.36216e-005 0.00293728 0.00016607 7.44934 

0.000224838 -0.881502 0.87591 -8.47599e-005 0.00548972 0.000217343 7.43702 

0.000281802 -1.10191 1.09294 -0.000105835 0.00884073 0.0002664 7.42417 

0.000339271 -1.32235 1.30922 -0.000126889 0.0129706 0.000313571 7.41218 

0.000397104 -1.5428 1.52471 -0.000147896 0.0178942 0.000358687 7.39959 

0.000455311 -1.76329 1.73946 -0.00016887 0.0236074 0.00040177 7.38797 

0.000513895 -1.9838 1.95344 -0.00018985 0.0301101 0.000442805 7.37598 

0.000572854 -2.20435 2.16668 -0.000210759 0.0373977 0.000481827 7.36461 

0.000632057 -2.42493 2.37914 -0.000231675 0.0454806 0.000518654 7.35288 

0.000691924 -2.64555 2.59086 -0.000252523 0.054354 0.000553725 7.34158 

0.000752045 -2.86622 2.80184 -0.000273368 0.0640188 0.000586628 7.33063 

0.000812411 -3.08693 3.01206 -0.000294171 0.0744749 0.000617357 7.31949 

0.000873317 -3.30769 3.22154 -0.000314934 0.0857233 0.000646195 7.30887 

0.000934628 -3.5285 3.43028 -0.0003357 0.0977589 0.000673024 7.29814 

0.000996341 -3.74936 3.63828 -0.000356428 0.110598 0.000697793 7.2877 

0.00105847 -3.97028 3.84554 -0.000377149 0.12422 0.000720579 7.27736 

0.001121 -4.19125 4.05207 -0.000397822 0.138636 0.000741323 7.26722 

0.00118381 -4.41229 4.25786 -0.000418526 0.153858 0.000759888 7.25727 

0.00118381 -4.41229 4.25786 -0.000418526 0.153858 0.000759888 -9.25596e+061 

0.00113244 -4.19124 4.05206 -0.0004187 0.138661 0.000754952 7.25759 

0.00108141 -3.97026 3.84553 -0.000418838 0.12426 0.000747925 7.26758 

0.00103072 -3.74932 3.63824 -0.000418983 0.110657 0.000738795 7.27815 

0.000980365 -3.52845 3.43023 -0.000419105 0.0978482 0.000727575 7.28811 

0.000930339 -3.30764 3.22149 -0.000419203 0.0858276 0.000714277 7.2985 

0.000880641 -3.08687 3.012 -0.000419275 0.0745997 0.000698884 7.30913 

0.000831265 -2.86615 2.80175 -0.000419321 0.0641685 0.00068138 7.32019 

0.000782212 -2.64547 2.59078 -0.000419338 0.0545242 0.000661793 7.3309 

0.000733477 -2.42484 2.37905 -0.000419315 0.045671 0.000640106 7.34203 

0.000685053 -2.20424 2.16655 -0.000419272 0.0376132 0.000616301 7.35377 

0.000636944 -1.98368 1.95331 -0.000419197 0.0303462 0.000590394 7.36488 

0.000589144 -1.76316 1.73932 -0.00041909 0.0238641 0.000562397 7.37644 

0.000541649 -1.54266 1.52457 -0.000418949 0.0181717 0.000532293 7.38825 

0.000494456 -1.32219 1.30905 -0.000418774 0.0132735 0.000500063 7.40049 

0.000447565 -1.10175 1.09277 -0.000418564 0.0091596 0.000465737 7.41239 

0.00040097 -0.88133 0.875721 -0.000418319 0.0058345 0.000429298 7.42472 

0.000354669 -0.660927 0.657899 -0.000418027 0.00330297 0.000390729 7.43731 

0.000308659 -0.440533 0.439298 -0.00041771 0.00155995 0.00035004 7.45017 

0.000262938 -0.22015 0.219925 -0.000417357 0.000600293 0.000307246 7.46295 

0.000217503 0.000218466 -0.000222672 -0.000416967 0.000428899 0.000262331 7.47581 
